period_start,isin,api_name,amount,individuals,count
2020-10-01,EE3600019733,Swedbanki pensionifond Konservatiivne,296977.19,5489,6126
2020-10-01,EE3600109435,Tuleva Maailma Aktsiate Pensionifond,675868.33,14039,16356
2020-10-01,EE3600109443,Tuleva Maailma Võlakirjade Pensionifond,46735.49,1084,1202
2020-11-01,EE3600019832,LHV Pensionifond Ettevõtlik,2779636.01,74175,85114
2020-11-01,EE3600109401,LHV Pensionifond Indeks,160407.18,3661,4121
2020-11-01,EE3600019766,LHV Pensionifond Julge,973880.41,27476,31289
2020-11-01,EE3600019782,LHV Pensionifond Rahulik,101308.56,2281,2526
2020-11-01,EE3600001723,LHV Pensionifond Roheline,75637.87,1953,2233
2020-11-01,EE3600019824,LHV Pensionifond S,209098.93,4737,5356
2020-11-01,EE3600019774,LHV Pensionifond Tasakaalukas,530854.85,10550,12065
2020-11-01,EE3600103503,Luminor 16-50 pensionifond,260042.61,6565,7605
2020-11-01,EE3600098430,Luminor 50-56 pensionifond,743977.53,18541,21490
2020-11-01,EE3600098448,Luminor 56+ pensionifond,86383.57,1763,2018
2020-11-01,EE3600098455,Luminor 61-65 pensionifond,94079.4,2096,2340
2020-11-01,EE3600103297,SEB Energiline Pensionifond,746198.17,22689,25634
2020-11-01,EE3600001699,SEB pensionifond 18+,19437.68,556,626
2020-11-01,EE3600019725,SEB pensionifond 55+,1967124.18,56115,63404
2020-11-01,EE3600098612,SEB pensionifond 60+,150430.25,3840,4332
2020-11-01,EE3600019717,SEB pensionifond 65+,253454.2,6079,6809
2020-11-01,EE3600109427,SEB pensionifond indeks,193500.37,5393,5956
2020-11-01,EE3600019741,Swedbanki pensionifond 1960-69 sündinutele,1235727.66,29164,32687
2020-11-01,EE3600019758,Swedbanki pensionifond 1970-79 sündinutele,2926913.91,88996,99974
2020-11-01,EE3600103248,Swedbanki pensionifond 1980-89 sündinutele,2251031.38,69063,77827
2020-11-01,EE3600109393,Swedbanki pensionifond indeks 1990-99 sündinutele,267149.29,9368,10346
2020-11-01,EE3600019733,Swedbanki pensionifond Konservatiivne,282866.99,5541,6165
2020-11-01,EE3600109435,Tuleva Maailma Aktsiate Pensionifond,696089.98,14934,17386
2020-11-01,EE3600109443,Tuleva Maailma Võlakirjade Pensionifond,45670.11,1094,1214
2020-12-01,EE3600019832,LHV Pensionifond Ettevõtlik,2801495.88,73713,85209
2020-12-01,EE3600109401,LHV Pensionifond Indeks,171850.15,3819,4309
2020-12-01,EE3600019766,LHV Pensionifond Julge,995866.42,27677,31930
2020-12-01,EE3600019782,LHV Pensionifond Rahulik,100579.13,2238,2486
2020-12-01,EE3600001723,LHV Pensionifond Roheline,111108.43,2738,3188
2020-12-01,EE3600019824,LHV Pensionifond S,206267.72,4631,5224
2020-12-01,EE3600019774,LHV Pensionifond Tasakaalukas,534033.65,10481,12077
2020-12-01,EE3600103503,Luminor 16-50 pensionifond,253494.11,6363,7461
2020-12-01,EE3600098430,Luminor 50-56 pensionifond,739565.63,18181,21168
2020-12-01,EE3600098448,Luminor 56+ pensionifond,86608.92,1742,2009
2020-12-01,EE3600098455,Luminor 61-65 pensionifond,91633.34,2044,2295
2020-12-01,EE3600103297,SEB Energiline Pensionifond,741323.28,22461,25402
2020-12-01,EE3600001699,SEB pensionifond 18+,19818.43,579,661
2020-12-01,EE3600019725,SEB pensionifond 55+,1946361.75,55264,62476
2020-12-01,EE3600098612,SEB pensionifond 60+,149442.2,3810,4305
2020-12-01,EE3600019717,SEB pensionifond 65+,253546.98,5992,6719
2020-12-01,EE3600109427,SEB pensionifond indeks,216167.78,5764,6437
2020-12-01,EE3600019741,Swedbanki pensionifond 1960-69 sündinutele,1228659.28,28891,32341
2020-12-01,EE3600019758,Swedbanki pensionifond 1970-79 sündinutele,2893197.19,88043,98786
2020-12-01,EE3600103248,Swedbanki pensionifond 1980-89 sündinutele,2255079.86,68455,76923
2020-12-01,EE3600109393,Swedbanki pensionifond indeks 1990-99 sündinutele,292000.32,10035,11055
2020-12-01,EE3600019733,Swedbanki pensionifond Konservatiivne,288249.53,5629,6280
2020-12-01,EE3600109435,Tuleva Maailma Aktsiate Pensionifond,775043.9,16252,19064
2020-12-01,EE3600109443,Tuleva Maailma Võlakirjade Pensionifond,49205.7,1104,1221
2021-01-01,EE3600019832,LHV Pensionifond Ettevõtlik,2939884.55,71908,83476
2021-01-01,EE3600109401,LHV Pensionifond Indeks,182777.85,3834,4362
2021-01-01,EE3600019766,LHV Pensionifond Julge,1036851.67,27095,31119
2021-01-01,EE3600019782,LHV Pensionifond Rahulik,105229.52,2137,2382
2021-01-01,EE3600001723,LHV Pensionifond Roheline,143531.15,3280,3820
2021-01-01,EE3600019824,LHV Pensionifond S,224127.93,4495,5105
2021-01-01,EE3600019774,LHV Pensionifond Tasakaalukas,574135.97,10209,11849
2021-01-01,EE3600103503,Luminor 16-50 pensionifond,263877.46,6191,7241
2021-01-01,EE3600098430,Luminor 50-56 pensionifond,777569.67,17721,20778
2021-01-01,EE3600098448,Luminor 56+ pensionifond,93943.39,1677,1956
2021-01-01,EE3600098455,Luminor 61-65 pensionifond,96392.94,1968,2205
2021-01-01,EE3600103297,SEB Energiline Pensionifond,772756.45,22012,24999
2021-01-01,EE3600001699,SEB pensionifond 18+,24689.4,645,731
2021-01-01,EE3600019725,SEB pensionifond 55+,2051252.6,53708,61058
2021-01-01,EE3600098612,SEB pensionifond 60+,161821.33,3688,4181
2021-01-01,EE3600019717,SEB pensionifond 65+,276373.84,5877,6615
2021-01-01,EE3600109427,SEB pensionifond indeks,235164.49,5903,6529
2021-01-01,EE3600019741,Swedbanki pensionifond 1960-69 sündinutele,1335285.17,28185,31711
2021-01-01,EE3600019758,Swedbanki pensionifond 1970-79 sündinutele,3052714.82,85669,96659
2021-01-01,EE3600103248,Swedbanki pensionifond 1980-89 sündinutele,2350682.9,67584,76303
2021-01-01,EE3600109393,Swedbanki pensionifond indeks 1990-99 sündinutele,324820.92,10489,11583
2021-01-01,EE3600019733,Swedbanki pensionifond Konservatiivne,313939.51,5548,6210
2021-01-01,EE3600109435,Tuleva Maailma Aktsiate Pensionifond,850188.78,16949,19928
2021-01-01,EE3600109443,Tuleva Maailma Võlakirjade Pensionifond,50582.12,1066,1187
2021-02-01,EE3600019832,LHV Pensionifond Ettevõtlik,2590162.72,68324,77986
2021-02-01,EE3600109401,LHV Pensionifond Indeks,140827.89,2681,3071
2021-02-01,EE3600019766,LHV Pensionifond Julge,872453.59,23351,26631
2021-02-01,EE3600019782,LHV Pensionifond Rahulik,73111.07,1464,1642
2021-02-01,EE3600001723,LHV Pensionifond Roheline,153843.67,3571,4106
2021-02-01,EE3600019824,LHV Pensionifond S,170833.77,3585,4036
2021-02-01,EE3600019774,LHV Pensionifond Tasakaalukas,491930.73,9741,11068
2021-02-01,EE3600103503,Luminor 16-50 pensionifond,230950.32,5680,6554
2021-02-01,EE3600098430,Luminor 50-56 pensionifond,674789.34,16740,19289
2021-02-01,EE3600098448,Luminor 56+ pensionifond,82072.55,1620,1861
2021-02-01,EE3600098455,Luminor 61-65 pensionifond,66118.42,1325,1489
2021-02-01,EE3600103297,SEB Energiline Pensionifond,623692.75,17985,20331
2021-02-01,EE3600001699,SEB pensionifond 18+,24444.8,647,726
2021-02-01,EE3600019725,SEB pensionifond 55+,1772527.72,50164,56321
2021-02-01,EE3600098612,SEB pensionifond 60+,138697.74,3450,3879
2021-02-01,EE3600019717,SEB pensionifond 65+,214292.36,4974,5550
2021-02-01,EE3600109427,SEB pensionifond indeks,155455.13,3382,3841
