period_date,isin,inflow_count,outflow_count,inflow_amount,outflow_amount
2024-01-02,EE3600019766,1836,1971,11414212.76,14938697.26
2024-01-02,EE3600019774,210,281,1768397.3,3096214.5
2024-01-02,EE3600019782,13,110,66222.47,624682.19
2024-01-02,EE3600019824,23,210,169888.37,1499212.94
2024-01-02,EE3600019832,1516,3192,13559543.85,38156091.15
2024-01-02,EE3600098430,237,991,2750384.74,12255532.59
2024-01-02,EE3600098448,4,113,15791.94,1444926.27
2024-01-02,EE3600098455,7,153,75819.83,1002831.9
2024-01-02,EE3600098612,36,91,196139.77,689396.14
2024-01-02,EE3600103248,1506,2356,12931564.12,18283052.49
2024-01-02,EE3600103297,169,802,1219349.19,6000138.02
2024-01-02,EE3600103503,2275,1542,24819314.18,10513801.22
2024-01-02,EE3600109393,3909,889,23060293.88,3750144.2
2024-01-02,EE3600109401,709,1040,5055500.03,3858815.66
2024-01-02,EE3600109427,1669,922,14102422.12,2378371.81
2024-01-02,EE3600109435,2626,446,27656464.07,3589104.91
2024-01-02,EE3600109443,80,119,888318.52,689034.4
2024-05-02,EE3600001699,1062,807,7852127.03,6766072.68
2024-05-02,EE3600001723,65,1253,143121.82,5232918.79
2024-05-02,EE3600001806,49,42,220422.87,206780.7
2024-05-02,EE3600001814,1086,407,12121894.5,1154358.06
2024-05-02,EE3600001848,572,104,599851.4,90283.86
2024-05-02,EE3600019717,15,195,95560.61,1085835.28
2024-05-02,EE3600019725,173,1354,1246937.69,14161575.9
2024-05-02,EE3600019733,73,138,929695.87,1026795.54
2024-05-02,EE3600019741,492,435,5901804.45,4826827.24
2024-05-02,EE3600019758,766,1873,8463282.91,22710657.23
2024-05-02,EE3600019766,2427,2398,11118321.71,18187239.63
2024-05-02,EE3600019774,222,414,1975725.19,4917332.57
2024-05-02,EE3600019782,6,99,7719.03,527392.73
2024-05-02,EE3600019824,30,204,220932.65,1761383.75
2024-05-02,EE3600019832,1211,3945,10535353.97,54188641.99
2024-05-02,EE3600098430,137,912,1517339.83,12227143.34
2024-05-02,EE3600098448,8,107,36519.59,1573299.68
2024-05-02,EE3600098455,5,139,64840.19,934515.19
2024-05-02,EE3600098612,35,123,445639.21,1070467.47
2024-05-02,EE3600103248,1340,2399,12920933.57,19581980.0
2024-05-02,EE3600103503,3712,1505,45840911.31,10806905.58
2024-05-02,EE3600109393,3932,1009,25374889.74,3757698.0
2024-05-02,EE3600109401,718,1078,5310090.84,4781138.84
2024-05-02,EE3600109427,1526,1012,14120135.44,2964391.54
2024-05-02,EE3600109435,2713,413,30113440.3,3326882.1
2024-05-02,EE3600109443,113,123,1446710.94,755684.97
2024-09-02,EE3600001699,973,735,7603972.08,5579641.27
2024-09-02,EE3600001723,35,835,100256.21,3533477.14
